Team,Rec.,2ndO Wins(Diff),S&P+(Percentile),S&P+(Margin),Rk,Off. S&P+,Rk,Def. S&P+,Rk,SOS,Rk,Wtd. S&P+,Rk
East Carolina,7-6,5.5 (-1.5),	46.9%	,	-0.8	,	65	,	23.1	,	70	,	24.0	,	67	,	0.29	,	53	,	+1.6	,	61	
Northwestern,4-8,4.7 (0.7),	45.9%	,	-1.1	,	66	,	22.6	,	75	,	23.8	,	62	,	0.91	,	21	,	-0.6	,	71	
New Mexico,6-7,4.7 (-1.3),	44.1%	,	-1.6	,	67	,	22.2	,	77	,	23.9	,	65	,	0.39	,	45	,	+5.2	,	39	
Air Force,4-8,4.7 (0.7),	44.0%	,	-1.7	,	68	,	27.3	,	36	,	28.9	,	99	,	0.70	,	27	,	-4.7	,	87	
Central Michigan,10-4,8.6 (-1.4),	42.2%	,	-2.2	,	69	,	25.3	,	44	,	27.5	,	88	,	-1.25	,	104	,	+5.9	,	35	
Fresno State,4-8,4.6 (0.6),	42.2%	,	-2.2	,	70	,	24.8	,	51	,	27.0	,	82	,	0.36	,	47	,	-2.7	,	79	
Vanderbilt,4-8,5.9 (1.9),	40.6%	,	-2.6	,	71	,	23.4	,	67	,	26.0	,	78	,	-0.60	,	85	,	-1.0	,	72	
Michigan State,4-8,4.1 (0.1),	39.5%	,	-2.9	,	72	,	24.5	,	54	,	27.4	,	86	,	0.21	,	60	,	-13.3	,	112	
Colorado,2-10,3.6 (1.6),	37.6%	,	-3.5	,	73	,	19.1	,	92	,	22.6	,	55	,	0.24	,	56	,	-7.2	,	98	
North Carolina,3-9,3.0 (0.0),	37.3%	,	-3.6	,	74	,	23.6	,	63	,	27.2	,	83	,	1.16	,	15	,	-6.9	,	94	
Ohio,9-5,8.2 (-0.8),	35.7%	,	-4.1	,	75	,	17.4	,	102	,	21.4	,	41	,	-1.02	,	95	,	-1.1	,	73	
Iowa State,4-8,3.2 (-0.8),	34.6%	,	-4.4	,	76	,	25.2	,	46	,	29.6	,	105	,	0.92	,	20	,	-14.8	,	115	
Ole Miss,4-8,3.8 (-0.2),	34.4%	,	-4.4	,	77	,	19.7	,	88	,	24.2	,	69	,	0.57	,	34	,	+0.9	,	66	
Illinois,2-10,4.3 (2.3),	34.2%	,	-4.5	,	78	,	19.7	,	89	,	24.2	,	70	,	0.16	,	61	,	+3.7	,	47	
Western Michigan,8-5,7.4 (-0.6),	34.0%	,	-4.5	,	79	,	17.3	,	103	,	21.9	,	47	,	-1.53	,	110	,	+5.4	,	38	
Middle Tennessee,7-6,6.5 (-0.5),	33.2%	,	-4.8	,	80	,	19.1	,	93	,	23.9	,	66	,	-0.94	,	94	,	+8.4	,	25	
Mississippi State,3-9,3.8 (0.8),	33.2%	,	-4.8	,	81	,	17.4	,	101	,	22.2	,	49	,	0.63	,	30	,	+2.8	,	53	
Indiana,5-7,3.2 (-1.8),	32.1%	,	-5.1	,	82	,	23.1	,	69	,	28.3	,	95	,	1.19	,	13	,	-11.2	,	110	
UAB,3-9,4.0 (1.0),	31.4%	,	-5.4	,	83	,	21.5	,	81	,	26.9	,	81	,	-0.07	,	69	,	-10.9	,	108	
Rice,7-6,5.3 (-1.7),	30.5%	,	-5.6	,	84	,	25.0	,	50	,	30.6	,	109	,	0.02	,	68	,	+1.6	,	62	
Navy,9-4,8.5 (-0.5),	30.3%	,	-5.7	,	85	,	23.5	,	64	,	29.2	,	101	,	-1.95	,	116	,	-3.0	,	82	
Ball State,5-7,5.5 (0.5),	28.7%	,	-6.2	,	86	,	24.3	,	56	,	30.5	,	108	,	-1.26	,	105	,	+1.0	,	65	
Central Florida,4-8,5.4 (1.4),	27.7%	,	-6.5	,	87	,	23.0	,	72	,	29.5	,	104	,	-0.49	,	80	,	-4.8	,	88	
San Jose State,9-4,9.1 (0.1),	27.6%	,	-6.6	,	88	,	22.1	,	79	,	28.7	,	98	,	-2.23	,	118	,	+8.4	,	24	
Northern Illinois,7-6,6.4 (-0.6),	27.4%	,	-6.6	,	89	,	21.0	,	84	,	27.6	,	89	,	-1.52	,	109	,	+4.7	,	41	
Tulane,4-8,4.0 (0.0),	25.3%	,	-7.4	,	90	,	21.0	,	83	,	28.4	,	96	,	0.36	,	46	,	-10.5	,	107	
UTEP,5-7,5.5 (0.5),	25.0%	,	-7.4	,	91	,	24.0	,	59	,	31.5	,	112	,	-0.88	,	92	,	-6.0	,	92	
Akron,5-7,5.5 (0.5),	24.5%	,	-7.6	,	92	,	17.4	,	100	,	25.0	,	73	,	-1.16	,	102	,	-4.6	,	86	
Colorado State,4-8,4.7 (0.7),	23.7%	,	-7.9	,	93	,	18.0	,	96	,	25.9	,	76	,	-0.50	,	82	,	-5.2	,	89	
Stanford,1-11,1.7 (0.7),	22.4%	,	-8.4	,	94	,	15.4	,	109	,	23.8	,	64	,	1.69	,	4	,	-5.3	,	90	
UL-Monroe,4-8,6.1 (2.1),	21.3%	,	-8.8	,	95	,	19.4	,	90	,	28.2	,	93	,	-1.93	,	115	,	+3.1	,	52	
Troy,8-5,7.6 (-0.4),	21.2%	,	-8.8	,	96	,	17.5	,	98	,	26.4	,	79	,	-1.88	,	114	,	+3.1	,	51	
SMU,6-6,6.1 (0.1),	21.2%	,	-8.8	,	97	,	21.3	,	82	,	30.1	,	106	,	-1.85	,	113	,	-0.4	,	69	
Toledo,5-7,5.2 (0.2),	20.9%	,	-8.9	,	98	,	17.7	,	97	,	26.6	,	80	,	-1.04	,	96	,	+2.7	,	54	
UNLV,2-10,3.1 (1.1),	20.9%	,	-9.0	,	99	,	19.3	,	91	,	28.2	,	94	,	0.22	,	58	,	-4.0	,	84	
San Diego State,3-9,3.4 (0.4),	19.8%	,	-9.4	,	100	,	16.6	,	106	,	26.0	,	77	,	0.31	,	52	,	-8.7	,	102	
Marshall,5-7,5.3 (0.3),	18.9%	,	-9.8	,	101	,	23.0	,	73	,	32.7	,	114	,	-1.09	,	98	,	-2.2	,	76	
Utah State,1-11,1.2 (0.2),	15.4%	,	-11.2	,	102	,	18.9	,	95	,	30.2	,	107	,	1.79	,	2	,	-15.9	,	117	
Miami (Ohio),2-10,4.0 (2.0),	14.3%	,	-11.8	,	103	,	16.0	,	107	,	27.8	,	91	,	-1.06	,	97	,	-2.4	,	78	
Duke,0-12,1.8 (1.8),	13.4%	,	-12.2	,	104	,	15.1	,	111	,	27.4	,	85	,	0.55	,	35	,	-11.1	,	109	
Florida Atlantic,5-7,4.5 (-0.5),	12.9%	,	-12.5	,	105	,	11.6	,	117	,	24.1	,	68	,	-1.32	,	107	,	-2.7	,	80	
Kent State,6-6,6.3 (0.3),	12.6%	,	-12.6	,	106	,	12.7	,	115	,	25.4	,	75	,	-2.21	,	117	,	-16.4	,	118	
Memphis,2-10,3.5 (1.5),	11.7%	,	-13.1	,	107	,	20.4	,	85	,	33.5	,	117	,	-1.15	,	101	,	-4.2	,	85	
UL-Lafayette,6-6,4.7 (-1.3),	11.3%	,	-13.4	,	108	,	15.6	,	108	,	29.0	,	100	,	-1.64	,	112	,	-7.6	,	99	
New Mexico State,4-8,5.1 (1.1),	10.6%	,	-13.8	,	109	,	22.9	,	74	,	36.7	,	119	,	-2.36	,	119	,	-2.2	,	75	
Eastern Michigan,1-11,2.0 (1.0),	10.3%	,	-14.0	,	110	,	15.3	,	110	,	29.3	,	102	,	-0.39	,	77	,	-8.4	,	101	
Arkansas State,6-6,4.6 (-1.4),	9.7%	,	-14.4	,	111	,	13.7	,	114	,	28.1	,	92	,	-1.24	,	103	,	-7.1	,	96	
Bowling Green,4-8,4.0 (0.0),	9.6%	,	-14.4	,	112	,	16.8	,	105	,	31.2	,	111	,	-1.59	,	111	,	-10.0	,	105	
Louisiana Tech,3-10,3.0 (0.0),	8.3%	,	-15.3	,	113	,	20.2	,	86	,	35.6	,	118	,	-0.17	,	71	,	-11.7	,	111	
Army,3-9,2.2 (-0.8),	7.8%	,	-15.7	,	114	,	13.8	,	113	,	29.5	,	103	,	-1.14	,	99	,	-13.4	,	113	
Idaho,4-8,3.4 (-0.6),	7.1%	,	-16.2	,	115	,	16.8	,	104	,	33.0	,	115	,	-0.53	,	84	,	-7.1	,	97	
Florida International,0-12,2.4 (2.4),	5.5%	,	-17.6	,	116	,	5.6	,	119	,	23.3	,	60	,	-0.76	,	88	,	-17.7	,	119	
Buffalo,2-10,2.0 (0.0),	4.7%	,	-18.5	,	117	,	14.9	,	112	,	33.5	,	116	,	-0.20	,	72	,	-14.8	,	114	
North Texas,3-9,3.3 (0.3),	4.5%	,	-18.8	,	118	,	8.9	,	118	,	27.6	,	90	,	-0.86	,	91	,	-9.4	,	103	
Temple,1-11,0.9 (-0.1),	3.1%	,	-20.6	,	119	,	12.1	,	116	,	32.6	,	113	,	0.93	,	19	,	-15.2	,	116	
