F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
52,Utah State,10-4,5.7%,3.6,52,0.023,55
53,Texas,6-7,5.1%,10.0,33,-0.043,74
54,Michigan,5-7,4.9%,6.8,45,-0.016,66
55,N.C. State,8-5,4.4%,4.0,50,0.008,60
56,Western Michigan,8-5,4.4%,0.1,62,0.051,47
57,Georgia Southern,9-3,4.0%,2.0,57,0.026,53
58,Washington,8-6,1.1%,-1.3,75,0.036,51
59,Toledo,9-4,1.0%,-0.3,67,0.025,54
60,Central Florida,9-4,0.0%,-0.8,71,0.021,56
61,East Carolina,8-5,-1.0%,-0.9,72,0.013,58
62,Maryland,7-6,-1.5%,3.3,53,-0.037,71
63,Iowa,7-6,-2.2%,-0.6,70,0.000,63
64,Nevada,7-6,-2.5%,-2.2,81,0.014,57
65,California,5-7,-2.8%,0.3,61,-0.015,65
66,Arkansas State,7-6,-3.6%,1.0,59,-0.030,70
67,Temple,6-6,-3.8%,-0.3,66,-0.018,67
68,Kentucky,5-7,-5.2%,1.5,58,-0.050,76
69,Northern Illinois,11-3,-5.6%,-2.2,80,-0.013,64
70,North Carolina,6-7,-5.9%,2.1,55,-0.064,84
71,Northwestern,5-7,-5.9%,-3.9,85,0.001,62
72,UL-Lafayette,9-4,-6.9%,0.4,60,-0.053,79
73,Houston,8-5,-7.5%,-5.8,90,0.005,61
74,Oregon State,5-7,-7.6%,-1.1,74,-0.043,73
75,Oklahoma State,7-6,-7.7%,0.0,63,-0.056,80
F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
76,San Diego State,7-6,-7.8%,-2.9,83,-0.024,68
77,Washington State,3-9,-8.0%,-0.5,68,-0.053,78
78,Illinois,6-7,-8.0%,-0.1,65,-0.058,81
79,UAB,6-6,-8.1%,-3.0,84,-0.026,69
80,Syracuse,3-9,-9.6%,-2.0,78,-0.050,77
81,Rutgers,8-5,-10.4%,-0.6,69,-0.074,87
82,Texas Tech,4-8,-10.4%,0.0,64,-0.082,89
83,Colorado,2-10,-10.8%,-1.9,77,-0.063,82
84,Purdue,3-9,-11.2%,-2.1,79,-0.064,83
85,Central Michigan,7-6,-12.4%,-5.4,89,-0.039,72
86,Rice,8-5,-13.9%,-1.5,76,-0.098,94
87,Middle Tennessee,6-6,-14.6%,-4.3,87,-0.070,85
88,Indiana,4-8,-14.6%,-3.9,86,-0.074,86
89,South Alabama,6-7,-14.9%,-2.8,82,-0.090,91
90,UTEP,7-6,-20.2%,-4.5,88,-0.120,102
91,Ball State,5-7,-21.7%,-14.2,116,-0.045,75
92,Iowa State,2-10,-22.1%,-8.3,95,-0.092,92
93,Tulane,3-9,-22.2%,-7.5,93,-0.102,95
94,New Mexico,4-8,-23.1%,-6.5,91,-0.122,105
95,Texas State,7-5,-24.0%,-11.0,106,-0.083,90
96,Florida International,4-8,-24.8%,-12.3,111,-0.080,88
97,UL-Monroe,4-8,-24.9%,-8.0,94,-0.120,103
98,Bowling Green,8-6,-25.3%,-9.1,96,-0.111,99
99,Kansas,3-9,-25.7%,-7.1,92,-0.142,112
100,Florida Atlantic,3-9,-25.9%,-9.1,97,-0.117,101
F/+ Rk,Team,Rec,F/+,S&P+,Rk,FEI,Rk
101,Wake Forest,3-9,-27.3%,-12.4,112,-0.097,93
102,Fresno State,6-8,-27.4%,-9.7,100,-0.123,106
103,Miami (Ohio),2-10,-27.7%,-9.6,99,-0.127,108
104,Appalachian State,7-5,-28.0%,-12.5,113,-0.102,97
105,Akron,5-7,-28.0%,-10.9,104,-0.117,100
106,Ohio,6-6,-28.3%,-9.4,98,-0.135,110
107,Kent State,2-9,-28.3%,-9.7,101,-0.131,109
108,Old Dominion,6-6,-28.7%,-10.6,102,-0.125,107
109,UTSA,4-8,-30.1%,-12.1,110,-0.122,104
110,Southern Miss,3-9,-32.3%,-10.7,103,-0.157,118
111,Hawaii,4-9,-33.0%,-18.8,123,-0.102,96
112,Idaho,1-10,-33.6%,-11.6,109,-0.158,119
113,Wyoming,4-8,-33.9%,-11.2,107,-0.166,120
114,Buffalo,5-6,-34.4%,-18.8,122,-0.111,98
115,Vanderbilt,3-9,-34.8%,-10.9,105,-0.181,121
116,San Jose State,3-9,-35.7%,-13.6,114,-0.154,117
117,Tulsa,2-10,-37.1%,-15.5,118,-0.147,114
118,UNLV,2-11,-37.2%,-15.0,117,-0.153,116
119,Connecticut,2-10,-37.8%,-16.3,119,-0.148,115
120,Massachusetts,3-9,-38.8%,-17.5,120,-0.146,113
121,Army,4-8,-39.5%,-19.8,125,-0.139,111
122,Georgia State,1-11,-39.8%,-11.5,108,-0.242,126
123,South Florida,4-8,-39.9%,-13.7,115,-0.192,123
124,New Mexico State,2-10,-48.6%,-21.4,127,-0.191,122
125,North Texas,4-8,-49.3%,-20.5,126,-0.202,124
126,Troy,3-9,-50.0%,-18.1,121,-0.234,125
127,SMU,1-11,-53.8%,-19.3,124,-0.257,127
128,Eastern Michigan,2-10,-65.9%,-24.6,128,-0.304,128
